Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C2944070,ESP32-C3-WROOM-02-H4,ESPRESSIF,"SMD,20x18mm",,"2.4GHz ESP32-C3 On-board PCB Antenna -105dBm SMD,20x18mm RF Transceiver Modules and Modems RoHS",yes,2,1,1,3.2523,6.50,https://www.lcsc.com/product-detail/C2944070.html
2,C771768,STKF-12V3,STEIPU,"Through Hole,19.2x15.5mm",,"15A@14VDC 12V One set changeover: 1C (SPDT - changeover) Through Hole,19.2x15.5mm Automotive Relays RoHS",yes,10,1,1,0.4407,4.41,https://www.lcsc.com/product-detail/C771768.html
3,C99124,AOD4184A,AOS,TO-252,,N-Channel 40V 13A 50A 2.3W 50W Surface Mount TO-252,yes,5,5,5,0.3224,1.61,https://www.lcsc.com/product-detail/C99124.html
4,C347475,AO3400A,UMW,SOT-23,,N-Channel 30V 5.8A 1.4W Surface Mount SOT-23,yes,20,20,20,0.0315,0.63,https://www.lcsc.com/product-detail/C347475.html
5,C5359893,SS54F,MSKSEMI,SMAF,,Diode 40V 5A Surface Mount SMAF,yes,20,20,20,0.0310,0.62,https://www.lcsc.com/product-detail/C5359893.html
6,C282065,CC0603KRX7R9BB203,YAGEO,0603,,20nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0034,0.34,https://www.lcsc.com/product-detail/C282065.html
7,C22793,0603WAF1372T5E,UNI-ROYAL,0603,,13.7kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C22793.html
8,C7588804,CR6045-2R2N,Ceaiya,"SMD,6x6mm",,"4.6A 2.2uH 14mΩ 6.5A ±30% SMD,6x6mm Fixed Inductors RoHS",yes,10,10,10,0.0509,0.51,https://www.lcsc.com/product-detail/C7588804.html
9,C137801,RC0603FR-0711KL,YAGEO,0603,,100mW 11kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C137801.html
10,C107093,CC0603KRX7R9BB473,YAGEO,0603,,47nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0032,0.32,https://www.lcsc.com/product-detail/C107093.html
11,C2930111,FRC0603F5231TS,FOJAN,0603,,5.23kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C2930111.html
12,C137745,RC0603FR-0730K1L,YAGEO,0603,,100mW 30.1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C137745.html
13,C96446,CL10A106MA8NRNC,Samsung Electro-Mechanics,0603,,10uF ±20% 25V Ceramic Capacitor X5R 0603,yes,100,20,20,0.0171,1.71,https://www.lcsc.com/product-detail/C96446.html
14,C99782,RC0603FR-074K7L,YAGEO,0603,,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C99782.html
15,C52204610,HNTC-103F3435FA,R+O,"Through Hole,P=2mm",,"10kΩ 3.5mW ±1% ±1% Through Hole,P=2mm NTC Thermistors RoHS",yes,10,10,10,0.0307,0.31,https://www.lcsc.com/product-detail/C52204610.html
16,C48688013,MX142R-5.08-08P-GN01-Cu-A,MAX,"Through Hole,Right Angle,P=5.08mm",,"8 Position Wire to Board Terminal Block 5.08mm Through Hole, Right Angle",yes,1,1,1,0.5703,0.57,https://www.lcsc.com/product-detail/C48688013.html
17,C48688007,MX142R-5.08-02P-GN01-Cu-A,MAX,"Through Hole,Right Angle,P=5.08mm",,"2 Position Wire to Board Terminal Block 5.08mm Through Hole, Right Angle",yes,5,5,5,0.1531,0.77,https://www.lcsc.com/product-detail/C48688007.html
18,C2862876,BQ25792RQMR,TI,QFN-29(4x4),,3.6V~24V Lithium Battery 1~4 5A QFN-29(4x4) Battery Chargers ICs RoHS,yes,2,1,1,1.7571,3.51,https://www.lcsc.com/product-detail/C2862876.html
19,C19330,BLM18AG601SN1D,muRata,0603,,600Ω@100MHz 1 Line Ferrite Bead 0603 500mA 380mΩ,yes,100,100,100,0.0072,0.72,https://www.lcsc.com/product-detail/C19330.html
